rank,rankBeforeHistory,id,vehicle,region,vin,seller,status,historyChecked,recalls,recallDetails,nicb,historyFinding,floodHistory,serviceHistory,publicHistorySources,maxBid,roundedTotal
1,1,54713756,2021 Kia Forte LXS,MO,3KPF24AD2ME414651,원본에 미표시,우선 점검,2026-09-14,0,[],"{""theft"": ""일치 기록 없음"", ""totalLoss"": ""우박 전손"", ""lossDate"": ""2026-04-28"", ""cause"": ""Hail""}",NICB: 2026-04-28 우박 전손. 현재 Clean 서류와 보험 전손 이력은 별개입니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/forte/2021/9bcab51b8770445a-kia-forte-lxs-3kpf24ad2me414651/"", ""https://usacars.bg/pl/car/kia-forte-2021-3kpf24ad2me414651"", ""https://usacars.bg/ru/car/kia-forte-2021-3kpf24ad2me414651""]",5500,10000
12,14,68040146,2011 Toyota RAV4 Base,KS,2T3ZF4DV0BW078344,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.vininfo.eu/prefix/Toyota/RAV4/2011/2T3ZF4DV0BW0"", ""https://vin-check.org/2018-Apr-27/2018-Apr-27_486.pdf""]",4000,8800
13,15,52447896,2018 Kia Forte S,MO,3KPFL4A79JE267635,GE (Copart 표시),우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],3500,8600
14,16,66708186,2015 Honda Accord LX,KS,1HGCR2F38FA124344,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/honda/accord/2015/67c2dab5beb14386-honda-accord-lx-1hgcr2f38fa124344/"", ""https://usacars.bg/pl/car/honda-accord-2015-1hgcr2f38fa124344"", ""https://usacars.bg/es/car/honda-accord-2015-1hgcr2f38fa124344""]",3200,7300
15,17,59820326,2019 Toyota Camry SE,KS,4T1B11HK6KU181758,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/camry/2019/adad17619ed02b60-toyota-camry-se-4t1b11hk6ku181758/"", ""https://usacars.bg/pl/car/toyota-camry-2019-4t1b11hk6ku181758"", ""https://checkcar.vin/de/report/check/4T1B11HK6KU181758""]",4500,9100
16,18,66255136,2015 Toyota Camry LE,KS,4T4BF1FK5FR450560,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/camry/2015/79808f347080a456-toyota-camry-le-4t4bf1fk5fr450560/"", ""https://usacars.bg/en/car/toyota-camry-2015-4t4bf1fk5fr450560"", ""https://usacars.bg/pl/car/toyota-camry-2015-4t4bf1fk5fr450560""]",4500,9100
17,19,68347506,2021 Hyundai Tucson Value,KS,KM8J33A41MU365991,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,[],4700,9800
18,20,65278226,2017 Subaru Legacy 2.5i Premium,KS,4S3BNAC67H3033961,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/ru/car/subaru-legacy-2017-4s3bnac67h3033961"", ""https://usacars.bg/pl/car/subaru-legacy-2017-4s3bnac67h3033961"", ""https://plc.ua/auctions/lot/subaru-legacy-2017-vin-4s3bnac67h3033961-1-65278226/""]",3500,7900
19,21,68630226,2019 Kia Forte LXS,MO,3KPF24AD8KE091798,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",Copart 원문 서류는 MO Cert Of Title-Repossessed. 회수 차량 표시이며 무사고의 증거는 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/kia/forte/2019/f8e3e4273cdb127a-kia-forte-lxs-3kpf24ad8ke091798/"", ""https://www.salvagereseller.com/cars-for-sale/68630226-2019-kia-forte-lxs-rogersville-mo"", ""https://bid.cars/en/lot/1-68630226/2019-KIA-Forte-3KPF24AD8KE091798""]",4600,10000
20,22,89131265,2019 Nissan Sentra S,MO,3N1AB7AP6KY341823,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/nissan/sentra/2019/87b30c32c03f0e18-nissan-sentra-s-3n1ab7ap6ky341823/"", ""https://autohelperbot.com/en/car/3N1AB7AP6KY341823_65933735"", ""https://plc.ua/auctions/lot/nissan-sentra-2019-vin-3n1ab7ap6ky341823-1-89131265/""]",4000,9800
21,23,62630566,2017 Kia Forte LX,MO,3KPFK4A74HE039149,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/pl/car/kia-forte-2017-3kpfk4a74he039149"", ""https://bidinfo.app/kia/forte/copart-62630566-kia-forte-2017-black-sedan-vin-3kpfk4a74he039149.html"", ""https://bid.cars/en/lot/1-62630566/2017-KIA-Forte-3KPFK4A74HE039149""]",2500,7300
22,24,68074766,2021 Nissan Rogue SL,KS,JN8AT3CB3MW226521,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/nissan/rogue/2021/3652aa296f08812f-nissan-rogue-sl-jn8at3cb3mw226521/"", ""https://www.automobileauctioneers.com/vehicles-history/nissan/rogue/2021/jn8at3cb3mw226521/"", ""https://autoconsultant.com.ua/automobile/nissan/rogue/3652aa296f08812-2021-nissan-rogue-jn8at3cb3mw226521/""]",4600,9700
23,25,60234636,2019 Subaru Forester Sport,KS,JF2SKAKCXKH553972,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/subaru/forester/2019/64cae84df75390a3-subaru-forester-sport-jf2skakcxkh553972/"", ""https://usacars.bg/pl/car/subaru-forester-2019-jf2skakcxkh553972"", ""https://usacars.bg/en/car/subaru-forester-2019-jf2skakcxkh553972""]",4400,9500
24,26,62420466,2020 Mitsubishi Eclipse Cross ES,KS,JA4AT3AA6LZ035947,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://www.salvagereseller.com/es/cars-for-sale/62420466-2020-mitsubishi-eclipse-cross-es-kansas-city-ks"", ""https://bazar.bg/obiava-56040702/mitsubishi-eclipse-cross-1-5l-es"", ""https://daydrive.ua/catalog/usa/make/mitsubishi/model/eclipse""]",3500,8800
25,28,65957186,2015 Toyota RAV4 LE,KS,JTMBFREV0FJ036158,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/rav4/2015/e50f3c1c6b7ecd08-toyota-rav4-le-jtmbfrev0fj036158/"", ""https://usacars.bg/en/car/toyota-rav4-2015-jtmbfrev0fj036158"", ""https://usacars.bg/car/toyota-rav4-2015-jtmbfrev0fj036158""]",4800,9800
26,30,62026146,2021 Nissan Rogue SV,KS,5N1AT3BA2MC744766,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/nissan/rogue/2021/d4ac2d08c4979001-nissan-rogue-sv-5n1at3ba2mc744766/"", ""https://usacars.bg/pl/car/nissan-rogue-2021-5n1at3ba2mc744766"", ""https://usacars.bg/ru/car/nissan-rogue-2021-5n1at3ba2mc744766""]",3800,9300
27,31,85979535,2012 Honda CR-V EX,KS,5J6RM3H55CL008203,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/honda/crv/2012/e5b73043c7f0630c-honda-crv-ex-5j6rm3h55cl008203/"", ""https://bidhistory.org/honda/crv/2012/e5b73043c7f0630c-honda-crv-ex-5j6rm3h55cl008203/"", ""https://plc.ua/auctions/lot/honda-cr-v-2012-vin-5j6rm3h55cl008203-1-85979535/""]",3300,8600
28,34,67089566,2016 Toyota RAV4 XLE,KS,2T3RFREV2GW507986,USAA,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/toyota/rav4/2016/e6005ffea93ded67-toyota-rav4-xle-2t3rfrev2gw507986/"", ""https://usacars.bg/en/car/toyota-rav4-2016-2t3rfrev2gw507986"", ""https://usacars.bg/pl/car/toyota-rav4-2016-2t3rfrev2gw507986""]",4200,9300
29,36,65742956,2012 Mazda3 i,KS,JM1BL1VF0C1503545,미공개,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/mazda/3/2012/55cf3e4e5e341044-mazda-3-i-jm1bl1vf0c1503545/"", ""https://checkcar.vin/de/report/check/JM1BL1VF0C1503545"", ""https://checkcar.vin/ar/report/check/JM1BL1VF0C1503545""]",1000,4600
30,37,67289766,2012 Ford Edge Limited,KS,2FMDK3KC1CBA45757,GE,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://usacars.bg/en/car/ford-edge-2012-2fmdk3kc1cba45757"", ""https://usacars.bg/car/ford-edge-2012-2fmdk3kc1cba45757"", ""https://usacars.bg/pl/car/ford-edge-2012-2fmdk3kc1cba45757""]",2600,8400
31,38,68859496,2021 Ford Edge Titanium,MO,2FMPK4K94MBA59886,원본에 미표시,우선 점검,2026-09-14,0,[],"{""status"": ""미조회: 24시간 IP당 5대 제한. 이번 상위 5대만 조회.""}",이번 공개 검색에서 현재 경매 자료와 구별되는 구체적 사고·침수·정비 사건을 확정하지 못했습니다. 이력이 없다는 뜻은 아닙니다.,침수 없음 확정 불가. 공개 자료에서 구체적인 침수 사건 미확인; 전체 보험·DMV 이력은 미조회.,실제 작업 날짜·주행거리·수리 항목이 있는 정비 기록 미확보. 엔진·변속기 교체 여부 미확인.,"[""https://en.bidhistory.org/ford/edge/2021/ed3914c22db46a4c-ford-edge-titanium-2fmpk4k94mba59886/"", ""https://www.cars.com/shopping/ford-edge/lebanon-mo/"", ""https://bid.cars/en/lot/1-68859496/2021-Ford-Edge-2FMPK4K94MBA59886""]",3900,9900
